Date,Weekday,Predicted_Close_Simple,Predicted_Close_Residual,Predicted_Close_WeekdayAverage
2025-01-02,Thursday,38144.82217828247,38144.822178282455,29238.765044642856
2025-01-03,Friday,38152.41884534927,38152.41884534925,29270.00843470982
2025-01-04,Saturday,38160.01551241608,38160.01551241607,29297.204696479886
2025-01-05,Sunday,38167.61217948288,38167.612179482865,29316.53173828125
2025-01-06,Monday,38175.20884654969,38175.20884654968,29335.94596634788
2025-01-07,Tuesday,38182.8055136165,38182.805513616484,29349.1669529005
2025-01-08,Wednesday,38190.402180683304,38190.40218068329,29442.199869791668
2025-01-09,Thursday,38197.99884775011,38197.998847750096,29238.765044642856
2025-01-10,Friday,38205.595514816916,38205.5955148169,29270.00843470982
2025-01-11,Saturday,38213.19218188372,38213.19218188371,29297.204696479886
2025-01-12,Sunday,38220.78884895053,38220.78884895051,29316.53173828125
2025-01-13,Monday,38228.38551601733,38228.38551601732,29335.94596634788
2025-01-14,Tuesday,38235.98218308414,38235.982183084125,29349.1669529005
2025-01-15,Wednesday,38243.578850150945,38243.57885015093,29442.199869791668
2025-01-16,Thursday,38251.17551721775,38251.175517217736,29238.765044642856
2025-01-17,Friday,38258.77218428456,38258.77218428454,29270.00843470982
2025-01-18,Saturday,38266.36885135136,38266.36885135135,29297.204696479886
2025-01-19,Sunday,38273.965518418176,38273.96551841816,29316.53173828125
2025-01-20,Monday,38281.562185484974,38281.56218548496,29335.94596634788
2025-01-21,Tuesday,38289.15885255179,38289.15885255177,29349.1669529005
2025-01-22,Wednesday,38296.755519618586,38296.75551961857,29442.199869791668
2025-01-23,Thursday,38304.3521866854,38304.352186685384,29238.765044642856
2025-01-24,Friday,38311.948853752205,38311.94885375219,29270.00843470982
2025-01-25,Saturday,38319.54552081901,38319.545520818996,29297.204696479886
2025-01-26,Sunday,38327.14218788582,38327.1421878858,29316.53173828125
2025-01-27,Monday,38334.73885495262,38334.73885495261,29335.94596634788
2025-01-28,Tuesday,38342.33552201943,38342.33552201941,29349.1669529005
2025-01-29,Wednesday,38349.932189086234,38349.93218908622,29442.199869791668
