Date,Weekday,Predicted_Close_Simple,Predicted_Close_Residual,Predicted_Close_WeekdayAverage
2025-01-02,Thursday,3215.4725655996594,3215.4725655996585,1761.058147670201
2025-01-03,Friday,3216.7214810216083,3216.7214810216074,1757.063041469029
2025-01-04,Saturday,3217.9703964435566,3217.9703964435557,1760.0998548748848
2025-01-05,Sunday,3219.219311865505,3219.219311865504,1764.7299921320773
2025-01-06,Monday,3220.4682272874534,3220.4682272874525,1765.099073958123
2025-01-07,Tuesday,3221.7171427094017,3221.717142709401,1769.321137176163
2025-01-08,Wednesday,3222.96605813135,3222.966058131349,1776.6965025978527
2025-01-09,Thursday,3224.214973553299,3224.214973553298,1761.058147670201
2025-01-10,Friday,3225.4638889752473,3225.4638889752464,1757.063041469029
2025-01-11,Saturday,3226.7128043971957,3226.7128043971948,1760.0998548748848
2025-01-12,Sunday,3227.961719819144,3227.961719819143,1764.7299921320773
2025-01-13,Monday,3229.2106352410924,3229.2106352410915,1765.099073958123
2025-01-14,Tuesday,3230.4595506630412,3230.4595506630403,1769.321137176163
2025-01-15,Wednesday,3231.7084660849896,3231.7084660849887,1776.6965025978527
2025-01-16,Thursday,3232.957381506938,3232.957381506937,1761.058147670201
2025-01-17,Friday,3234.2062969288863,3234.2062969288854,1757.063041469029
2025-01-18,Saturday,3235.4552123508347,3235.455212350834,1760.0998548748848
2025-01-19,Sunday,3236.7041277727835,3236.7041277727826,1764.7299921320773
2025-01-20,Monday,3237.953043194732,3237.953043194731,1765.099073958123
2025-01-21,Tuesday,3239.2019586166803,3239.2019586166793,1769.321137176163
2025-01-22,Wednesday,3240.4508740386286,3240.4508740386277,1776.6965025978527
2025-01-23,Thursday,3241.699789460577,3241.699789460576,1761.058147670201
2025-01-24,Friday,3242.9487048825254,3242.9487048825245,1757.063041469029
2025-01-25,Saturday,3244.197620304474,3244.1976203044733,1760.0998548748848
2025-01-26,Sunday,3245.4465357264226,3245.4465357264216,1764.7299921320773
2025-01-27,Monday,3246.695451148371,3246.69545114837,1765.099073958123
2025-01-28,Tuesday,3247.9443665703193,3247.9443665703184,1769.321137176163
2025-01-29,Wednesday,3249.1932819922677,3249.1932819922667,1776.6965025978527
