Date,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Target
2024-03-25,69958.8125,67234.171875,64062.203125,63778.76171875,65491.390625,67913.671875,61912.7734375,67548.59375,69958.8125
2024-03-26,69987.8359375,69958.8125,67234.171875,64062.203125,63778.76171875,65491.390625,67913.671875,61912.7734375,69987.8359375
2024-03-27,69455.34375,69987.8359375,69958.8125,67234.171875,64062.203125,63778.76171875,65491.390625,67913.671875,69455.34375
2024-03-28,70744.953125,69455.34375,69987.8359375,69958.8125,67234.171875,64062.203125,63778.76171875,65491.390625,70744.953125
2024-03-29,69892.828125,70744.953125,69455.34375,69987.8359375,69958.8125,67234.171875,64062.203125,63778.76171875,69892.828125
2024-03-30,69645.3046875,69892.828125,70744.953125,69455.34375,69987.8359375,69958.8125,67234.171875,64062.203125,69645.3046875
2024-03-31,71333.6484375,69645.3046875,69892.828125,70744.953125,69455.34375,69987.8359375,69958.8125,67234.171875,71333.6484375
2024-04-01,69702.1484375,71333.6484375,69645.3046875,69892.828125,70744.953125,69455.34375,69987.8359375,69958.8125,69702.1484375
2024-04-02,65446.97265625,69702.1484375,71333.6484375,69645.3046875,69892.828125,70744.953125,69455.34375,69987.8359375,65446.97265625
2024-04-03,65980.8125,65446.97265625,69702.1484375,71333.6484375,69645.3046875,69892.828125,70744.953125,69455.34375,65980.8125
2024-04-04,68508.84375,65980.8125,65446.97265625,69702.1484375,71333.6484375,69645.3046875,69892.828125,70744.953125,68508.84375
2024-04-05,67837.640625,68508.84375,65980.8125,65446.97265625,69702.1484375,71333.6484375,69645.3046875,69892.828125,67837.640625
2024-04-06,68896.109375,67837.640625,68508.84375,65980.8125,65446.97265625,69702.1484375,71333.6484375,69645.3046875,68896.109375
2024-04-07,69362.5546875,68896.109375,67837.640625,68508.84375,65980.8125,65446.97265625,69702.1484375,71333.6484375,69362.5546875
2024-04-08,71631.359375,69362.5546875,68896.109375,67837.640625,68508.84375,65980.8125,65446.97265625,69702.1484375,71631.359375
2024-04-09,69139.015625,71631.359375,69362.5546875,68896.109375,67837.640625,68508.84375,65980.8125,65446.97265625,69139.015625
2024-04-10,70587.8828125,69139.015625,71631.359375,69362.5546875,68896.109375,67837.640625,68508.84375,65980.8125,70587.8828125
2024-04-11,70060.609375,70587.8828125,69139.015625,71631.359375,69362.5546875,68896.109375,67837.640625,68508.84375,70060.609375
2024-04-12,67195.8671875,70060.609375,70587.8828125,69139.015625,71631.359375,69362.5546875,68896.109375,67837.640625,67195.8671875
2024-04-13,63821.47265625,67195.8671875,70060.609375,70587.8828125,69139.015625,71631.359375,69362.5546875,68896.109375,63821.47265625
